Time Lag,Batch Size,Learning Rate,Units,Dropout Rate,RMSE,Training Time
30,64,0.01,80,0.3,104.72424537669363,6.5296690464019775
30,64,0.01,128,0.2,58.905801991601464,6.364876747131348
30,64,0.01,128,0.3,214.9772987774596,8.942485809326172
30,64,0.1,50,0.2,141.51039547067157,5.652593612670898
30,64,0.1,50,0.3,137.7614568988035,7.223165035247803
30,64,0.1,80,0.2,117.59931971149966,8.178045749664307
30,64,0.1,80,0.3,191.87980170507484,6.588375091552734
30,64,0.1,128,0.2,186.46957092361146,7.955412149429321
30,64,0.1,128,0.3,137.90689183347564,8.482357263565063
30,128,0.001,50,0.2,49.42407012527224,4.702710866928101
30,128,0.001,50,0.3,60.77724912515989,4.954705715179443
30,128,0.001,80,0.2,540.116189115163,5.303916931152344
30,128,0.001,80,0.3,55.33918205396465,5.642148733139038
30,128,0.001,128,0.2,365.84772201979155,6.526115655899048
30,128,0.001,128,0.3,152.94467836479967,8.937747716903687
30,128,0.01,50,0.2,128.81152664585238,9.019402742385864
30,128,0.01,50,0.3,107.12153841768186,5.644333839416504
30,128,0.01,80,0.2,199.02704024615574,5.536276340484619
30,128,0.01,80,0.3,171.80107177552975,5.1790852546691895
30,128,0.01,128,0.2,980.3328219831199,9.617072105407715
30,128,0.01,128,0.3,288.3314797984919,6.325087070465088
30,128,0.1,50,0.2,233.667782386599,5.153214693069458
30,128,0.1,50,0.3,150.89084721850574,5.66851019859314
30,128,0.1,80,0.2,248.05420434692888,4.926883935928345
30,128,0.1,80,0.3,128.09077972275125,5.44197416305542
30,128,0.1,128,0.2,755.0511892157942,6.5508506298065186
30,128,0.1,128,0.3,184.5419837020877,7.183851718902588
